管理都道府県・整備局,管理市区町村,公園名,公園種別,所在地都道府県名,所在地市区町村名,供用開始年,供用済面積（m2）,都市計画決定,備考,lat,lon,type
栃木県,,栃木県鬼怒グリーンパーク,運動公園,栃木県,塩谷郡高根沢町,1980,1567000.0,未確認,,36.61778728,139.97213232,middle
栃木県,,栃木県みかも山公園,広域公園,栃木県,佐野市,1988,1659000.0,未確認,,36.31011243,139.62764038,large
栃木県,,栃木県総合運動公園,運動公園,栃木県,宇都宮市,1952,440000.0,決定,,36.51052805,139.86080122,middle
栃木県,,栃木県中央公園,総合公園,栃木県,宇都宮市,1982,105000.0,決定,,36.55849345,139.86276823,middle
栃木県,,栃木県日光だいや川公園,広域公園,栃木県,日光市,1999,558000.0,未確認,,36.73519832,139.66569796,large
栃木県,,栃木県日光田母沢御用邸記念公園,地区公園（カントリーパーク）,栃木県,日光市,1997,39000.0,未確認,,36.75276453,139.59164431,small
栃木県,,栃木県井頭公園,広域公園,栃木県,真岡市,1980,933000.0,未確認,,36.49579,139.99644,large
栃木県,,栃木県那須野が原公園,広域公園,栃木県,那須塩原市,1988,594000.0,未確認,,36.93087292,139.94484436,large
栃木県,,栃木県とちぎわんぱく公園,総合公園,栃木県,下都賀郡壬生町,2000,372000.0,未確認,,36.46154388,139.80645893,middle
栃木県,宇都宮市,鍋沼児童公園,街区公園,栃木県,宇都宮市,1976,871.0,決定,,36.5648737,139.91680231,small
栃木県,宇都宮市,鳥見塚２号児童公園,街区公園,栃木県,宇都宮市,1976,717.0,決定,,36.56381889,139.91715924,small
栃木県,宇都宮市,鳥見塚３号児童公園,街区公園,栃木県,宇都宮市,1976,451.0,決定,,36.56391939,139.9189606,small
栃木県,宇都宮市,今泉３号児童公園,街区公園,栃木県,宇都宮市,1976,691.0,決定,,36.57480712,139.91333883,small
栃木県,宇都宮市,峰１号児童公園,街区公園,栃木県,宇都宮市,1976,762.0,決定,,36.54911884,139.91703253,small
栃木県,宇都宮市,川向児童公園,街区公園,栃木県,宇都宮市,1976,655.0,決定,,36.5553456,139.89630546,small
栃木県,宇都宮市,向明児童公園,街区公園,栃木県,宇都宮市,1976,585.0,決定,,36.5608947,139.88468418,small
栃木県,宇都宮市,城北児童公園,街区公園,栃木県,宇都宮市,1976,263.0,決定,,36.55649145,139.88604298,small
栃木県,宇都宮市,宮原２号児童公園,街区公園,栃木県,宇都宮市,1976,432.0,決定,,36.53637429,139.87745753,small
栃木県,宇都宮市,富士見児童公園,街区公園,栃木県,宇都宮市,1976,911.0,決定,,36.47990794,139.86393982,small
栃木県,宇都宮市,花園児童公園,街区公園,栃木県,宇都宮市,1976,908.0,決定,,36.54921675,139.86963336,small
栃木県,宇都宮市,戸祭児童公園,街区公園,栃木県,宇都宮市,1976,349.0,決定,,36.56603663,139.87344729,small
栃木県,宇都宮市,星が丘児童公園,街区公園,栃木県,宇都宮市,1976,625.0,決定,,36.56989348,139.87399115,small
栃木県,宇都宮市,松原２号児童公園,街区公園,栃木県,宇都宮市,1976,421.0,決定,,36.57108844,139.87338066,small
栃木県,宇都宮市,松原１号児童公園,街区公園,栃木県,宇都宮市,1976,516.0,決定,,36.57144482,139.87323276,small
栃木県,宇都宮市,徳次郎１号児童公園,街区公園,栃木県,宇都宮市,1976,456.0,決定,,36.66127449,139.83872708,small
栃木県,宇都宮市,南高砂児童公園,街区公園,栃木県,宇都宮市,1987,629.0,決定,,36.48384501,139.86946924,small
栃木県,宇都宮市,南町児童公園,街区公園,栃木県,宇都宮市,1987,914.0,決定,,36.48623565,139.86761189,small
栃木県,宇都宮市,今宮３号児童公園,街区公園,栃木県,宇都宮市,1979,600.0,決定,,36.51172065,139.86397572,small
栃木県,宇都宮市,大寛児童公園,街区公園,栃木県,宇都宮市,1980,944.0,決定,,36.5602353,139.87476586,small
栃木県,宇都宮市,西大寛児童公園,街区公園,栃木県,宇都宮市,1982,937.0,決定,,36.56062265,139.8710113,small
栃木県,宇都宮市,榎内２号児童公園,街区公園,栃木県,宇都宮市,1984,819.0,決定,,36.54023655,139.89015205,small
栃木県,宇都宮市,不動前児童公園,街区公園,栃木県,宇都宮市,1976,269.0,未決定,,36.54588264,139.88099606,small
栃木県,宇都宮市,中河原児童公園,街区公園,栃木県,宇都宮市,1976,246.0,未決定,,36.55716167,139.88883208,small
栃木県,宇都宮市,弥生児童公園,街区公園,栃木県,宇都宮市,1976,330.0,未決定,,36.54220733,139.86696327,small
栃木県,宇都宮市,八千代児童公園,街区公園,栃木県,宇都宮市,1976,920.0,未決定,,36.53108786,139.85691446,small
栃木県,宇都宮市,泉が丘児童公園,街区公園,栃木県,宇都宮市,1976,594.0,未決定,,36.56899069,139.92080281,small
栃木県,宇都宮市,細谷１号児童公園,街区公園,栃木県,宇都宮市,1976,330.0,未決定,,36.58467044,139.85567212,small
栃木県,宇都宮市,蛙沼児童公園,街区公園,栃木県,宇都宮市,1997,288.0,未決定,,36.532726,139.86971096,small
栃木県,宇都宮市,宮原３号児童公園,街区公園,栃木県,宇都宮市,1997,159.0,未決定,,36.53657953,139.8705308,small
栃木県,宇都宮市,北原２号児童公園,街区公園,栃木県,宇都宮市,1997,943.0,未決定,,36.56026011,139.84033908,small
栃木県,宇都宮市,江曽境児童公園,街区公園,栃木県,宇都宮市,1997,439.0,未決定,,36.53048158,139.87912144,small
栃木県,宇都宮市,西川田３号児童公園,街区公園,栃木県,宇都宮市,1997,887.0,未決定,,36.51047366,139.84834526,small
栃木県,宇都宮市,御幸が原１号児童公園,街区公園,栃木県,宇都宮市,1976,490.0,未決定,,36.58561557,139.92233091,small
栃木県,宇都宮市,ひまわり１号児童公園,街区公園,栃木県,宇都宮市,1976,448.0,未決定,,36.48836642,139.86071793,small
栃木県,宇都宮市,平出児童公園,街区公園,栃木県,宇都宮市,1976,609.0,未決定,,36.55958874,139.93123607,small
栃木県,宇都宮市,西田１号児童公園,街区公園,栃木県,宇都宮市,1976,790.0,未決定,,36.4975196,139.86770996,small
栃木県,宇都宮市,天狗台１号児童公園,街区公園,栃木県,宇都宮市,1976,793.0,未決定,,36.4911002,139.86667502,small
