,code,都道府県,市区町村,総人口,刑法犯総数,犯罪率(件/1000人)
0,20583,長野県,信濃町,8469,14,1.6530877317274768
1,20588,長野県,小川村,2665,13,4.878048780487805
2,20590,長野県,飯綱町,11063,18,1.627045105305975
3,20201,長野県,長野市,377598,1282,3.3951451014041387
4,20213,長野県,飯山市,21438,57,2.6588301147495104
5,20602,長野県,栄村,1953,0,0.0
6,20562,長野県,木島平村,4658,5,1.07342206955775
7,20563,長野県,野沢温泉村,3479,8,2.2995113538373095
8,20211,長野県,中野市,43909,111,2.527955544421417
9,20561,長野県,山ノ内町,12429,36,2.896451846488052
10,20207,長野県,須坂市,50725,164,3.233119763430261
11,20541,長野県,小布施町,10702,26,2.4294524387964866
12,20543,長野県,高山村,7033,18,2.5593630029859233
13,20218,長野県,千曲市,60298,204,3.3831967892799097
14,20521,長野県,坂城町,14871,34,2.286329096900007
15,20203,長野県,上田市,156827,488,3.111709080706766
16,20350,長野県,長和町,6166,9,1.4596172559195588
17,20349,長野県,青木村,4343,12,2.763067004374856
18,20219,長野県,東御市,30107,145,4.816155711296376
19,20208,長野県,小諸市,42512,144,3.387278885961611
20,20321,長野県,軽井沢町,18994,96,5.054227650837106
21,20217,長野県,佐久市,99368,327,3.2907978423637387
22,20323,長野県,御代田町,15184,46,3.029504741833509
23,20324,長野県,立科町,7265,15,2.064693737095664
24,20303,長野県,小海町,4713,11,2.333969870570762
25,20304,長野県,川上村,4607,9,1.9535489472541785
26,20305,長野県,南牧村,3408,10,2.9342723004694835
27,20307,長野県,北相木村,774,0,0.0
28,20306,長野県,南相木村,1005,3,2.985074626865672
29,20309,長野県,佐久穂町,11186,16,1.4303593777936707
30,20214,長野県,茅野市,55912,206,3.684361138932608
31,20362,長野県,富士見町,14493,42,2.897950734837508
32,20363,長野県,原村,7566,10,1.3217023526301876
33,20206,長野県,諏訪市,50140,164,3.270841643398484
34,20361,長野県,下諏訪町,20236,87,4.299268630164065
35,20204,長野県,岡谷市,50128,202,4.029684008937122
36,20382,長野県,辰野町,19770,88,4.451188669701567
37,20209,長野県,伊那市,68271,272,3.984122101624408
38,20383,長野県,箕輪町,25241,98,3.8825720058634765
39,20385,長野県,南箕輪村,15063,63,4.182433778131847
40,20210,長野県,駒ヶ根市,32759,107,3.266277969412986
41,20384,長野県,飯島町,9530,18,1.888772298006296
42,20386,長野県,中川村,4850,14,2.88659793814433
43,20388,長野県,宮田村,8821,34,3.8544382723047272
44,20205,長野県,飯田市,101581,254,2.5004676071312546
45,20402,長野県,松川町,13167,12,0.9113693324219639
46,20403,長野県,高森町,13080,23,1.7584097859327217
47,20407,長野県,阿智村,6538,13,1.9883756500458858
48,20409,長野県,平谷村,484,0,0.0
49,20410,長野県,根羽村,970,0,0.0
50,20415,長野県,喬木村,6310,4,0.6339144215530903
51,20416,長野県,豊丘村,6592,7,1.0618932038834952
52,20417,長野県,大鹿村,1023,1,0.9775171065493646
53,20404,長野県,阿南町,4962,3,0.6045949214026601
54,20411,長野県,下條村,3851,3,0.7790184367696703
55,20412,長野県,売木村,575,0,0.0
56,20413,長野県,天龍村,1365,3,2.197802197802198
57,20414,長野県,泰阜村,1702,3,1.7626321974148063
58,20422,長野県,上松町,4670,9,1.9271948608137046
59,20423,長野県,南木曽町,4313,10,2.318571759795966
60,20425,長野県,木祖村,2926,2,0.6835269993164731
61,20429,長野県,王滝村,839,1,1.1918951132300357
62,20430,長野県,大桑村,3825,1,0.26143790849673204
63,20432,長野県,木曽町,11826,27,2.28310502283105
64,20215,長野県,塩尻市,67135,204,3.038653459447382
65,20451,長野県,朝日村,4462,10,2.2411474675033616
66,20202,長野県,松本市,243293,1055,4.336335200766155
