行政区域コード,公共施設大分類,公共施設小分類,学校分類,名称,所在地,管理者コード,lat,lon
08201,16,16001,小学校,リリーベール小学校,藤が原3-1117-1288,4.0,36.461013,140.39297
08201,16,16001,小学校,稲荷第一小学校,大串町142-1,3.0,36.337202,140.53759
08201,16,16001,小学校,稲荷第二小学校,百合が丘町997-204,3.0,36.345283,140.509952
08201,16,16001,小学校,茨城大学教育学部附属小学校,三の丸2-6-8,1.0,36.37378,140.478815
08201,16,16001,小学校,下大野小学校,塩崎町666,3.0,36.339025,140.552676
08201,16,16001,小学校,河和田小学校,河和田町1019,3.0,36.368473,140.412876
08201,16,16001,小学校,笠原小学校,笠原町347-17,3.0,36.34406,140.454595
08201,16,16001,小学校,吉沢小学校,吉沢町169-1,3.0,36.33384,140.461928
08201,16,16001,小学校,吉田小学校,元吉田町1757-1,3.0,36.344665,140.475681
08201,16,16001,小学校,見川小学校,見川2-96-3,3.0,36.372973,140.43879
08201,16,16001,小学校,五軒小学校,金町3-2-25,3.0,36.384334,140.463371
08201,16,16001,小学校,鯉淵小学校,内鯉淵町3000,3.0,36.344793,140.370953
08201,16,16001,小学校,国田小学校,下国井町2595-1,3.0,36.425829,140.433095
08201,16,16001,小学校,妻里小学校,中原町682,3.0,36.3809,140.360406
08201,16,16001,小学校,三の丸小学校,三の丸1-6-51,3.0,36.374946,140.476509
08201,16,16001,小学校,酒門小学校,酒門町1445-1,3.0,36.341034,140.493314
08201,16,16001,小学校,寿小学校,平須町1809-1,3.0,36.328812,140.43182
08201,16,16001,小学校,上大野小学校,東大野106-1,3.0,36.363782,140.526089
08201,16,16001,小学校,上中妻小学校,大塚町1086-2,3.0,36.383359,140.392238
08201,16,16001,小学校,城東小学校,城東2-7-62,3.0,36.373113,140.493369
08201,16,16001,小学校,常磐小学校,西原1-3-12,3.0,36.387667,140.443956
08201,16,16001,小学校,新荘小学校,新荘2-11-1,3.0,36.385306,140.452261
08201,16,16001,小学校,石川小学校,石川4-4035,3.0,36.389537,140.422705
08201,16,16001,小学校,赤塚小学校,河和田2-2116-1,3.0,36.378832,140.405043
08201,16,16001,小学校,千波小学校,千波町1538-1,3.0,36.354893,140.465344
08201,16,16001,小学校,双葉台小学校,双葉台5-26,3.0,36.395438,140.406691
08201,16,16001,小学校,大場小学校,大場町2489,3.0,36.32236,140.520941
08201,16,16001,小学校,渡里小学校,堀町468-1,3.0,36.405508,140.427294
08201,16,16001,小学校,内原小学校,内原町1451,3.0,36.361892,140.359088
08201,16,16001,小学校,梅が丘小学校,姫子1-827-2,3.0,36.380472,140.432818
08201,16,16001,小学校,飯富小学校,飯富町4420-1,3.0,36.437632,140.41468
08201,16,16001,小学校,浜田小学校,浜田1-1-1,3.0,36.363697,140.494647
08201,16,16001,小学校,堀原小学校,新原1-7-1,3.0,36.393249,140.430846
08201,16,16001,小学校,柳河小学校,柳河町318-1,3.0,36.397046,140.469772
08201,16,16001,小学校,緑岡小学校,見川町2563,3.0,36.356142,140.443818
08201,16,99999,小学校,水戸英宏小学校,千波町2369-1,4.0,36.36141986874422,140.44702934811212
08201,16,16002,中学校,茨城大学教育学部附属中学校,文京1-3-32,1.0,36.397916,140.44815
08201,16,16002,中学校,茨城中学校,八幡町16-1,4.0,36.388833,140.457399
08201,16,16002,中学校,笠原中学校,笠原町417-3,3.0,36.337395,140.452179
08201,16,16002,中学校,見川中学校,見川2-98,3.0,36.37348,140.437841
08201,16,16002,中学校,国田中学校,下国井町2595-1,3.0,36.425829,140.433095
08201,16,16002,中学校,常澄中学校,塩崎町1016,3.0,36.333774,140.547891
08201,16,16002,中学校,水戸英宏中学校,見川町手負山2582-15,4.0,36.361676,140.444481
08201,16,16002,中学校,石川中学校,堀町2304-2,3.0,36.396692,140.421097
08201,16,16002,中学校,赤塚中学校,河和田1-1708-4,3.0,36.37661,140.410542
08201,16,16002,中学校,千波中学校,元吉田町599-2,3.0,36.358003,140.47701
08201,16,16002,中学校,双葉台中学校,双葉台5-27,3.0,36.396783,140.406593
08201,16,16002,中学校,第一中学校,東原3-1-1,3.0,36.385222,140.448594
08201,16,16002,中学校,第五中学校,堀町1166-1,3.0,36.398915,140.428485
08201,16,16002,中学校,第三中学校,朝日町2882-1,3.0,36.360896,140.489449
08201,16,16002,中学校,第四中学校,元吉田町1987-3,3.0,36.345422,140.481371
08201,16,16002,中学校,第二中学校,三の丸2-9-22,3.0,36.374974,140.480037
08201,16,16002,中学校,内原中学校,内原町1463-29,3.0,36.364148,140.360651
08201,16,16002,中学校,飯富中学校,飯富町4479-1,3.0,36.438604,140.413514
08201,16,16002,中学校,緑岡中学校,見川町2563-81,3.0,36.357531,140.44479
08201,16,16004,高等学校,茨城高等学校,八幡町16-1,4.0,36.388833,140.457399
08201,16,16004,高等学校,常磐大学高等学校,新荘3-2-28,4.0,36.385167,140.456121
08201,16,16004,高等学校,水戸葵陵高等学校,千波町中山2369,4.0,36.3604366937265,140.4472984778318
08201,16,16004,高等学校,水戸啓明高等学校,千波町464,4.0,36.363197,140.452345
08201,16,16004,高等学校,水戸工業高等学校,元吉田町1101,2.0,36.347671,140.468483
08201,16,16004,高等学校,水戸桜ノ牧高等学校,小吹町2070,2.0,36.352225,140.424348
08201,16,16004,高等学校,水戸女子高等学校,上水戸1-2-1,4.0,36.388278,140.452594
08201,16,16004,高等学校,水戸商業高等学校,新荘3-7-2,2.0,36.387195,140.453983
