,station_g_cd,line,pref,mun,post,address,lat,lon,line_num,crime_rate,census_0~6age_rate,census_6~18age_rate,city_park_small,city_park_middle,city_park_large,med_hospital,med_clinic_all,med_clinic_pediatrics,school_primary,school_junior_high,education_nursery,shopping_supermarket,shopping_shopping_mall,shopping_convenience_store,shopping_baby_goods_store,restaurant_num,time_tokyo,transfer_tokyo,time_shinagawa,transfer_shinagawa,time_shinjuku,transfer_shinjuku,time_shibuya,transfer_shibuya,time_ikebukuro,transfer_ikebukuro,time_average,transfer_average
YRP野比,2700505,['京急久里浜線'],神奈川県,横須賀市,239-0841,野比１-９-１,35.212229,139.685068,1,2.7915373377342063,0.1093933969925139,0.16106946920220314,16,0,0,0,11,3,2,2,1,2,0,2,0,39,65,1,51,0,78,1,73,1,92,1,71.8,0.8
あざみ野,2600316,"['東急田園都市線', 'ブルーライン']",神奈川県,横浜市青葉区,225-0011,あざみ野２-１-１,35.568645,139.553462,2,2.302287433966651,0.1175825621089472,0.16688489252431513,23,0,0,0,55,6,1,2,8,1,0,4,0,189,36,1,30,1,27,1,18,0,33,1,28.8,0.8
いずみ中央,2900206,['相鉄いずみ野線'],神奈川県,横浜市泉区,245-0016,和泉町３５４０,35.415385,139.48727,1,3.3760753124492777,0.12168243129525487,0.1803711977008738,11,0,0,1,13,2,1,1,5,2,0,2,1,49,51,1,44,1,56,1,51,1,61,1,52.6,1.0
いずみ野,2900205,['相鉄いずみ野線'],神奈川県,横浜市泉区,245-0016,和泉町５７３６,35.429434,139.495135,1,3.3760753124492777,0.08853135101677655,0.118709410926667,4,0,0,2,13,2,2,1,7,2,1,1,0,22,49,1,42,1,54,1,49,1,59,1,50.6,1.0
おゆみ野,2300505,['京成千原線'],千葉県,千葉市緑区,266-0033,おゆみ野南３-２７-１,35.550029,140.166264,1,3.634270938446014,0.13562011995509224,0.2173323905255831,15,1,0,0,14,4,5,1,4,3,1,2,1,81,80,1,87,1,93,1,100,1,84,1,88.8,1.0
お台場海浜公園,9931106,['ゆりかもめ'],東京都,港区,135-0091,台場２-３,35.629813,139.778607,1,9.902048231894542,0.1287607753251283,0.15876974438188252,2,0,0,0,11,1,1,1,0,1,4,3,5,286,21,1,23,1,31,1,29,1,42,1,29.2,1.0
お花茶屋,2300108,['京成本線'],東京都,葛飾区,124-0005,宝町２-３７-１,35.747585,139.83988,1,6.080200852086075,0.08122432720725117,0.11565033891839427,13,0,0,4,33,13,6,5,8,3,0,3,0,218,24,1,31,1,37,1,44,1,28,1,32.8,1.0
かしわ台,2900117,['相鉄本線'],神奈川県,海老名市,243-0402,柏ケ谷１０２６,35.466744,139.415851,1,5.031108380059913,0.09987867790138252,0.12102156523222064,20,0,0,1,9,1,3,1,3,3,0,0,0,48,58,1,51,1,61,0,54,0,68,1,58.4,0.6
くぬぎ山,9932916,['新京成線'],千葉県,鎌ヶ谷市,273-0128,くぬぎ山５-１-６,35.782343,139.975707,1,5.4353314909518256,0.07687352289422483,0.12318730692577756,8,0,0,1,4,1,1,0,4,1,0,1,0,80,41,1,48,1,94,1,63,2,58,2,60.8,1.4
こどもの国(神奈川県),2600803,['東急こどもの国線'],神奈川県,横浜市青葉区,227-0036,奈良町宇島９９５-１,35.558035,139.486657,1,2.302287433966651,0.09952988454898645,0.20447012359076985,15,0,0,0,18,4,2,1,1,2,0,0,0,35,60,2,54,2,51,2,37,1,57,2,51.8,1.8
