line_name,line_code,train_type,station1,station2,estimated_time
JR東海道本線,11301,快速,東京,新橋,3
JR東海道本線,11301,快速,新橋,品川,5
JR東海道本線,11301,快速,品川,川崎,9
JR東海道本線,11301,快速,川崎,横浜,8
JR東海道本線,11301,快速,横浜,戸塚,9
JR東海道本線,11301,快速,戸塚,大船,5
JR東海道本線,11301,快速,大船,藤沢,4
JR東海道本線,11301,快速,藤沢,茅ケ崎,5
JR東海道本線,11301,快速,茅ケ崎,平塚,4
JR東海道本線,11301,快速,平塚,国府津,9
JR東海道本線,11301,快速,国府津,小田原,6
JR東海道本線,11301,快速,小田原,早川,2
JR東海道本線,11301,快速,早川,根府川,4
JR東海道本線,11301,快速,根府川,真鶴,4
JR東海道本線,11301,快速,真鶴,湯河原,3
JR東海道本線,11301,快速,湯河原,熱海,6
JR東海道本線,11301,普通,東京,新橋,3
JR東海道本線,11301,普通,新橋,品川,4
JR東海道本線,11301,普通,品川,川崎,8
JR東海道本線,11301,普通,川崎,横浜,8
JR東海道本線,11301,普通,横浜,戸塚,10
JR東海道本線,11301,普通,戸塚,大船,4
JR東海道本線,11301,普通,大船,藤沢,4
JR東海道本線,11301,普通,藤沢,辻堂,3
JR東海道本線,11301,普通,辻堂,茅ケ崎,3
JR東海道本線,11301,普通,茅ケ崎,平塚,4
JR東海道本線,11301,普通,平塚,大磯,3
JR東海道本線,11301,普通,大磯,二宮,4
JR東海道本線,11301,普通,二宮,国府津,3
JR東海道本線,11301,普通,国府津,鴨宮,2
JR東海道本線,11301,普通,鴨宮,小田原,3
JR東海道本線,11301,普通,小田原,早川,2
JR東海道本線,11301,普通,早川,根府川,4
JR東海道本線,11301,普通,根府川,真鶴,4
JR東海道本線,11301,普通,真鶴,湯河原,3
JR東海道本線,11301,普通,湯河原,熱海,6
JR山手線,11302,普通,大崎,五反田,2
JR山手線,11302,普通,五反田,目黒,2
JR山手線,11302,普通,目黒,恵比寿,3
JR山手線,11302,普通,恵比寿,渋谷,3
JR山手線,11302,普通,渋谷,原宿,2
JR山手線,11302,普通,原宿,代々木,2
JR山手線,11302,普通,代々木,新宿,3
JR山手線,11302,普通,新宿,新大久保,2
JR山手線,11302,普通,新大久保,高田馬場,2
JR山手線,11302,普通,高田馬場,目白,2
JR山手線,11302,普通,目白,池袋,3
JR山手線,11302,普通,池袋,大塚(東京都),2
JR山手線,11302,普通,大塚(東京都),巣鴨,2
JR山手線,11302,普通,巣鴨,駒込,2
JR山手線,11302,普通,駒込,田端,3
JR山手線,11302,普通,田端,西日暮里,1
JR山手線,11302,普通,西日暮里,日暮里,2
JR山手線,11302,普通,日暮里,鶯谷,2
JR山手線,11302,普通,鶯谷,上野,3
JR山手線,11302,普通,上野,御徒町,1
JR山手線,11302,普通,御徒町,秋葉原,3
JR山手線,11302,普通,秋葉原,神田(東京都),2
JR山手線,11302,普通,神田(東京都),東京,2
JR山手線,11302,普通,東京,有楽町,2
JR山手線,11302,普通,有楽町,新橋,2
JR山手線,11302,普通,新橋,浜松町,2
JR山手線,11302,普通,浜松町,田町(東京都),3
JR山手線,11302,普通,田町(東京都),高輪ゲートウェイ,2
JR山手線,11302,普通,高輪ゲートウェイ,品川,2
JR南武線,11303,普通,川崎,尻手,3
JR南武線,11303,普通,尻手,矢向,2
JR南武線,11303,普通,矢向,鹿島田,2
JR南武線,11303,普通,鹿島田,平間,2
JR南武線,11303,普通,平間,向河原,3
JR南武線,11303,普通,向河原,武蔵小杉,2
JR南武線,11303,普通,武蔵小杉,武蔵中原,3
JR南武線,11303,普通,武蔵中原,武蔵新城,2
JR南武線,11303,普通,武蔵新城,武蔵溝ノ口,3
JR南武線,11303,普通,武蔵溝ノ口,津田山,2
