company_name,company_code,line_name,line_code,line_type,first_station,last_station,first_station_pref,last_station_pref,station_line_url,timetable_url
JR東日本,2,JR東海道本線,11301,straight,東京,熱海,東京都,静岡県,https://transit.yahoo.co.jp/station/rail/22828/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22828/?gid=1171&kind=1&done=time
JR東日本,2,JR山手線,11302,circle,大崎,品川,東京都,東京都,https://transit.yahoo.co.jp/station/rail/22559/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22559/?gid=7171&kind=1&done=time
JR東日本,2,JR南武線,11303,branch,川崎,立川,神奈川県,東京都,https://transit.yahoo.co.jp/station/rail/23126/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/23126/?gid=1211&kind=1&done=time
JR東日本,2,JR南武線,11303,branch,川崎,浜川崎,神奈川県,神奈川県,https://transit.yahoo.co.jp/station/rail/23126/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/23126/?gid=1211&kind=1&done=time
JR東日本,2,JR武蔵野線,11305,straight,府中本町,西船橋,東京都,千葉県,https://transit.yahoo.co.jp/station/rail/22963/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22963/?gid=981&kind=1&done=time
JR東日本,2,JR横浜線,11306,straight,東神奈川,八王子,神奈川県,東京都,https://transit.yahoo.co.jp/station/rail/23289/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/23289/?gid=1231&kind=1&done=time
JR東日本,2,JR根岸線,11307,straight,横浜,大船,神奈川県,神奈川県,https://transit.yahoo.co.jp/station/rail/23368/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/23368/?gid=1241&kind=1&done=time
JR東日本,2,JR横須賀線,11308,straight,東京,久里浜,東京都,神奈川県,https://transit.yahoo.co.jp/station/rail/22828/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22828/?gid=1161&kind=1&done=time
JR東日本,2,JR相模線,11309,straight,茅ケ崎,橋本,神奈川県,神奈川県,https://transit.yahoo.co.jp/station/rail/23234/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/23234/?gid=1251&kind=1&done=time
JR東日本,2,JR中央本線,11311,straight,東京,塩尻,東京都,長野県,https://transit.yahoo.co.jp/station/rail/22828/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22828/?gid=1091&kind=1&done=time
JR東日本,2,JR中央線,11312,straight,東京,高尾,東京都,東京都,https://transit.yahoo.co.jp/station/rail/22828/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22828/?gid=1091&kind=1&done=time
JR東日本,2,JR中央・総武線,11313,straight,千葉,三鷹,東京都,千葉県,https://transit.yahoo.co.jp/station/rail/22361/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22361/?gid=1101&kind=1&done=time
JR東日本,2,JR総武本線,11314,straight,東京,銚子,東京都,千葉県,https://transit.yahoo.co.jp/station/rail/22828/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22828/?gid=941&kind=1&done=time
JR東日本,2,JR青梅線,11315,straight,立川,奥多摩,東京都,東京都,https://transit.yahoo.co.jp/station/rail/22799/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22799/?gid=1111&kind=1&done=time
JR東日本,2,JR五日市線,11316,straight,拝島,武蔵五日市,東京都,東京都,https://transit.yahoo.co.jp/station/rail/22895/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22895/?gid=1121&kind=1&done=time
JR東日本,2,JR八高線,11317,straight,八王子,高麗川,東京都,埼玉県,https://transit.yahoo.co.jp/station/rail/22905/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22905/?gid=1021&kind=1&done=time
JR東日本,2,JR八高線,11318,straight,高麗川,高崎,埼玉県,群馬県,https://transit.yahoo.co.jp/station/rail/22038/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22038/?gid=1031&kind=1&done=time
JR東日本,2,宇都宮線,11319,straight,上野,黒磯,東京都,栃木県,https://transit.yahoo.co.jp/station/rail/22528/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22528/?gid=601&kind=1&done=time
JR東日本,2,JR常磐線,11320,straight,上野,取手,東京都,茨城県,https://transit.yahoo.co.jp/station/rail/22528/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22528/?gid=991&kind=1&done=time
JR東日本,2,JR埼京線,11321,straight,大崎,大宮,東京都,埼玉県,https://transit.yahoo.co.jp/station/rail/22559/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22559/?gid=1061&kind=1&done=time
JR東日本,2,JR川越線,11322,straight,大宮,高麗川,埼玉県,埼玉県,https://transit.yahoo.co.jp/station/rail/21987/?q=%E5%A4%A7%E5%AE%AE%E9%A7%85&kind=1&done=time,https://transit.yahoo.co.jp//station/time/21987/?gid=1041&q=%E5%A4%A7%E5%AE%AE%E9%A7%85&kind=1&done=time
JR東日本,2,JR高崎線,11323,straight,上野,高崎,東京都,群馬県,https://transit.yahoo.co.jp/station/rail/22528/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22528/?gid=1011&kind=1&done=time
JR東日本,2,JR外房線,11324,straight,千葉,安房鴨川,千葉県,千葉県,https://transit.yahoo.co.jp/station/rail/22361/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22361/?gid=901&kind=1&done=time
JR東日本,2,JR内房線,11325,straight,千葉,安房鴨川,千葉県,千葉県,https://transit.yahoo.co.jp/station/rail/22361/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22361/?gid=911&kind=1&done=time
JR東日本,2,JR京葉線,11326,straight,東京,蘇我,東京都,千葉県,https://transit.yahoo.co.jp/station/rail/22828/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22828/?gid=951&kind=1&done=time
JR東日本,2,JR鹿島線,11329,straight,佐原,鹿島神宮,千葉県,茨城県,https://transit.yahoo.co.jp/station/rail/22312/?kind=1&done=time,https://transit.yahoo.co.jp//station/time/22312/?gid=821&kind=1&done=time
